"title","type","genres","releaseYear","imdbId","imdbAverageRating","imdbNumVotes","availableCountries","service"
"Marnie","movie","Crime, Drama, Mystery",1964,"tt0058329",7.1,55113,"AG, BM, BO, BS, BZ, CL, CO, CR, DO, EC, GG, GT, HN, IE, JM, LC, MX, PA, PE, PY, SV, TC, US, UY, VE","Netflix"
"Love Actually","movie","Comedy, Drama, Romance",2003,"tt0314331",7.6,538744,"AD, AE, AL, AZ, BA, BG, BH, BY, CH, CY, CZ, DK, DZ, EE, EG, ES, FI, GR, HK, HR, HU, IL, IQ, IS, IT, JO, JP, KR, KW, LB, LT, LV, LY, MA, MC, MD, ME, MK, NO, OM, PL, PS, PT, QA, RO, RS, SA, SE, SI, SK, TN, TR, TW, YE","Netflix"
"Notting Hill","movie","Comedy, Drama, Romance",1999,"tt0125439",7.2,353242,"AD, AU, BE, CH, ES, FJ, FR, GB, GF, GG, GI, HK, ID, IE, IN, LU, MC, MY, NL, NZ, PF, PH, PK, SG, TH, TW","Netflix"
"One Flew Over the Cuckoo's Nest","movie","Drama",1975,"tt0073486",8.7,1094241,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK","Netflix"
"Casino","movie","Crime, Drama",1995,"tt0112641",8.2,577742,"AU, IL, JP, KR, NZ","Netflix"
"Once Were Warriors","movie","Crime, Drama",1994,"tt0110729",7.9,37602,"AU, FJ, NZ","Netflix"
"Wallace & Gromit: The Curse of the Were-Rabbit","movie","Adventure, Animation, Comedy",2005,"tt0312004",7.5,148874,"US","Netflix"
"Terminator Salvation","movie","Action, Adventure, Sci-Fi",2009,"tt0438488",6.5,382139,"AO, BE, CI, CM, CV, DK, DZ, EE, FI, GB, GG, GH, GI, GQ, IE, IN, IS, KE, LT, LU, LV, MG, ML, MT, MZ, NE, NG, NL, NO, NZ, PK, PL, SC, SE, SN, TD, TZ, UG, ZA, ZM, ZW","Netflix"
"Flashdance","movie","Drama, Music, Romance",1983,"tt0085549",6.2,60821,"AZ, BY, JP, LT, LV, UA","Netflix"
"Psycho","movie","Horror, Mystery, Thriller",1960,"tt0054215",8.5,736894,"US","Netflix"
"Rashomon","movie","Crime, Drama, Mystery",1950,"tt0042876",8.2,185064,"JP","Netflix"
"Fight Club","movie","Drama",1999,"tt0137523",8.8,2396518,"PK","Netflix"
"Spider-Man","movie","Action, Adventure, Sci-Fi",2002,"tt0145487",7.4,902174,"AD, AE, AG, AL, AO, AR, AT, BA, BB, BE, BG, BH, BM, BO, BR, BS, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DO, DZ, EC, EE, EG, ES, FR, GF, GH, GQ, GR, GT, HN, HR, HU, IN, IQ, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SI, SK, SN, SV, TC, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW","Netflix"
"Spider-Man 2","movie","Action, Adventure, Sci-Fi",2004,"tt0316654",7.5,728480,"AD, AE, AL, AO, BA, BE, BG, BH, CH, CI, CM, CV, CY, CZ, DZ, EE, EG, ES, FR, GF, GH, GQ, GR, HR, HU, IQ, JO, KE, KR, KW, LB, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MT, MU, MZ, NE, NG, OM, PF, PL, PS, PT, QA, RO, RS, SA, SC, SI, SK, SN, TN, TR, TZ, UG, YE, ZA, ZM, ZW","Netflix"
"Spider-Man 3","movie","Action, Adventure, Sci-Fi",2007,"tt0413300",6.3,653823,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BM, BO, BR, BS, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DO, DZ, EC, EE, EG, ES, GF, GH, GQ, GR, GT, HN, HR, HU, IN, IQ, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, ME, MG, MK, ML, MT, MX, MZ, NE, NG, NI, NZ, OM, PA, PE, PK, PL, PS, PY, QA, RO, RS, SA, SC, SI, SK, SN, SV, TC, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW","Netflix"
